execution_time,total_cost,path,query_execution_time
1721.8589782714844,5.0,"[1000, 1084, 1151, 1459, 1145, 1110]",1
19939.899444580078,5.0,"[1000, 1084, 1151, 1459, 1145, 1110]",1
16301.631927490234,5.0,"[1000, 1084, 1151, 1459, 1145, 1110]",1
40497.0645904541,5.0,"[1000, 1084, 1151, 1459, 1145, 1110]",1
17242.431640625,5.0,"[1000, 1084, 1151, 1459, 1145, 1110]",0
28510.80894470215,5.0,"[1000, 1084, 1151, 1459, 1145, 1110]",1
16361.236572265625,5.0,"[1000, 1084, 1151, 1459, 1145, 1110]",0
18582.582473754883,5.0,"[1000, 1084, 1151, 1459, 1145, 1110]",0
18914.222717285156,5.0,"[1000, 1084, 1151, 1459, 1145, 1110]",1
15514.612197875977,5.0,"[1000, 1084, 1151, 1459, 1145, 1110]",0
17611.74201965332,5.0,"[1000, 1084, 1151, 1459, 1145, 1110]",0
16980.648040771484,5.0,"[1000, 1084, 1151, 1459, 1145, 1110]",0
25414.228439331055,5.0,"[1000, 1084, 1151, 1459, 1145, 1110]",1
13428.211212158203,5.0,"[1000, 1084, 1151, 1459, 1145, 1110]",1
17964.839935302734,5.0,"[1000, 1084, 1151, 1459, 1145, 1110]",1
16721.725463867188,5.0,"[1000, 1084, 1151, 1459, 1145, 1110]",0
18036.603927612305,5.0,"[1000, 1084, 1151, 1459, 1145, 1110]",1
16773.93913269043,5.0,"[1000, 1084, 1151, 1459, 1145, 1110]",0
13144.01626586914,5.0,"[1000, 1084, 1151, 1459, 1145, 1110]",1
33388.614654541016,5.0,"[1000, 1084, 1151, 1459, 1145, 1110]",1
14924.049377441406,5.0,"[1000, 1084, 1151, 1459, 1145, 1110]",1
16882.658004760742,5.0,"[1000, 1084, 1151, 1459, 1145, 1110]",0
14883.756637573242,5.0,"[1000, 1084, 1151, 1459, 1145, 1110]",0
14646.530151367188,5.0,"[1000, 1084, 1151, 1459, 1145, 1110]",1
17792.701721191406,5.0,"[1000, 1084, 1151, 1459, 1145, 1110]",1
16709.80453491211,5.0,"[1000, 1084, 1151, 1459, 1145, 1110]",1
29010.295867919922,5.0,"[1000, 1084, 1151, 1459, 1145, 1110]",1
15698.19450378418,5.0,"[1000, 1084, 1151, 1459, 1145, 1110]",0
16505.002975463867,5.0,"[1000, 1084, 1151, 1459, 1145, 1110]",1
17753.83949279785,5.0,"[1000, 1084, 1151, 1459, 1145, 1110]",0
24053.335189819336,5.0,"[1000, 1084, 1151, 1459, 1145, 1110]",0
19805.908203125,5.0,"[1000, 1084, 1151, 1459, 1145, 1110]",1
